pdf	pages	author	title	has_author	has_reserved_doi	local_path_leak
01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7_ACADEMIC.pdf	50	Kotov Ivan	Typed Governed Operational Algebra for c = a + b v0.1.7	yes	yes	no
02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5_ACADEMIC.pdf	43	Kotov Ivan	Governed Binding Operator Profile for c = a + b v0.1.5	yes	yes	no
03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2_ACADEMIC.pdf	25	Kotov Ivan	03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2	yes	yes	no
04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2_ACADEMIC.pdf	29	Kotov Ivan	04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2	yes	yes	no
05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1_ACADEMIC.pdf	16	Kotov Ivan	05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1	yes	yes	no
05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1_ACADEMIC.pdf	7	Kotov Ivan	05d — Self-Evo Post-Promotion Watch and Decay Guard v0.1	yes	yes	no
06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1_ACADEMIC.pdf	13	Kotov Ivan	06 — C Runtime Authority and Multi-Contour Deployment Boundary v0.1	yes	yes	no
06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	5	Kotov Ivan	06a — Runtime Authority Manifest Schema and Checker Seed v0.1	yes	yes	no
06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1_ACADEMIC.pdf	3	Kotov Ivan	06b — Multi-Contour Handoff and Tool Lease Fixture Pack v0.1	yes	yes	no
06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1_ACADEMIC.pdf	5	Kotov Ivan	06c Runtime Session Ledger and Emergency Hold Drill v0.1	yes	yes	no
06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1_ACADEMIC.pdf	5	Kotov Ivan	06d — Runtime Authority Revocation and Post-Session Audit v0.1	yes	yes	no
07_C_PUBLIC_EVIDENCE_DISCLOSURE_AND_REDACTION_BOUNDARY_v0_1_ACADEMIC.pdf	10	Kotov Ivan	07 — C Public Evidence Disclosure and Redaction Boundary v0.1	yes	yes	no
07a_PUBLIC_EVIDENCE_DISCLOSURE_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	5	Kotov Ivan	07a — Public Evidence Disclosure Manifest Schema and Checker Seed v0.1	yes	yes	no
07b_PUBLIC_RELEASE_BUNDLE_AND_HASH_CUSTODY_AUDIT_v0_1_ACADEMIC.pdf	3	Kotov Ivan	07b — Public Release Bundle and Hash Custody Audit v0.1	yes	yes	no
07c_PUBLIC_RETRACTION_SUPERSESSION_AND_ERRATA_LEDGER_v0_1_ACADEMIC.pdf	5	Kotov Ivan	07c — Public Retraction, Supersession, and Errata Ledger v0.1	yes	yes	no
07d_PUBLIC_CORPUS_INDEX_AND_CITATION_SURFACE_SYNC_v0_1_ACADEMIC.pdf	3	Kotov Ivan	07d — Public Corpus Index and Citation Surface Sync v0.1	yes	yes	no
08_C_INTEROPERABILITY_PROFILE_AND_EXTERNAL_REVIEW_INTAKE_BOUNDARY_v0_1_ACADEMIC.pdf	12	Kotov Ivan	08 — C Interoperability Profile and External Review Intake Boundary v0.1	yes	yes	no
08a_INTEROP_REVIEW_INTAKE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	5	Kotov Ivan	08a — Interop Review Intake Schema and Checker Seed v0.1	yes	yes	no
08b_EXTERNAL_REVIEW_CONFLICT_RESOLUTION_AND_PATCH_INTAKE_LEDGER_v0_1_ACADEMIC.pdf	4	Kotov Ivan	08b — External Review Conflict Resolution and Patch Intake Ledger v0.1	yes	yes	no
08c_INTEROP_IMPLEMENTATION_REPORT_AND_REPRODUCTION_MAPPING_v0_1_ACADEMIC.pdf	4	Kotov Ivan	08c — Interop Implementation Report and Reproduction Mapping v0.1	yes	yes	no
08d_INTEROP_EXTERNAL_IMPLEMENTATION_DISCLOSURE_AND_TEST_VECTOR_REGISTRY_v0_1_ACADEMIC.pdf	4	Kotov Ivan	08d — Interop External Implementation Disclosure and Test Vector Registry v0.1	yes	yes	no
09_C_DEPLOYMENT_PROFILE_AND_REGULATED_RELEASE_BOUNDARY_v0_1_ACADEMIC.pdf	16	Kotov Ivan	09 — C Deployment Profile and Regulated Release Boundary v0.1	yes	yes	no
09a_DEPLOYMENT_PROFILE_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	13	Kotov Ivan	09a — Deployment Profile Schema and Checker Seed v0.1	yes	yes	no
09b_DEPLOYMENT_FIXTURE_PACK_AND_MUTATION_MATRIX_v0_1_ACADEMIC.pdf	8	Kotov Ivan	09b — Deployment Fixture Pack and Mutation Matrix v0.1	yes	yes	no
09c_REGULATED_RELEASE_LEDGER_AND_WITHDRAWAL_DRILL_v0_1_ACADEMIC.pdf	7	Kotov Ivan	09c — Regulated Release Ledger and Withdrawal Drill v0.1	yes	yes	no
09d_POST_DEPLOYMENT_AUDIT_AND_NEXT_RELEASE_ADMISSION_v0_1_ACADEMIC.pdf	6	Kotov Ivan	09d — Post-Deployment Audit and Next-Release Admission v0.1	yes	yes	no
10_THE_PLUS_OPERATOR_BOUNDARY_AND_PROTECTED_INCOMPLETENESS_v0_1_ACADEMIC.pdf	14	Kotov Ivan	10 — The Plus Operator Boundary and Protected Incompleteness v0.1	yes	yes	no
CCALC_DOC07_PUBLIC_EVIDENCE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC.pdf	3	Kotov Ivan	CCALC Doc07 Public Evidence Stack — Index and Release Manifest v0.1	yes	yes	no
CCALC_DOC09_DEPLOYMENT_REGULATED_RELEASE_STACK_INDEX_AND_RELEASE_MANIFEST_v0_1_ACADEMIC.pdf	4	Kotov Ivan	CCALC DOC09 Deployment / Regulated Release Stack Umbrella v0.1	yes	yes	no
