test_id,current_public_status,r3e_a_r1_state,maximum_status_after_r3e_b,non_claim
TAP-T01,PUBLIC_VERIFIED,UNCHANGED,PUBLIC_VERIFIED,No new T01 evidence is introduced
TAP-T02,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PREPARATION_ONLY,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3E_B,Publication eligibility is not current verification
TAP-T03,PUBLIC_PARTIAL_WITH_DEPLOYMENT_EXTERNAL_BOUNDARY,UNCHANGED,PUBLIC_PARTIAL_WITH_DEPLOYMENT_EXTERNAL_BOUNDARY,Deployment activation and external orchestrators remain outside this bridge
TAP-T04,PUBLIC_VERIFIED,UNCHANGED,PUBLIC_VERIFIED,No new T04 evidence is introduced
TAP-T05,PUBLIC_VERIFIED,UNCHANGED,PUBLIC_VERIFIED,No new T05 evidence is introduced
TAP-T06,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PREPARATION_ONLY,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3E_B,No live cloud call or production deployment behavior is proved
TAP-T07,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PREPARATION_ONLY,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3E_B,No agent or scheduler is started by this bridge
TAP-T08,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PREPARATION_ONLY,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3E_B,TAP-C remains NOT CLAIMED
TAP-T09,PUBLIC_VERIFIED,UNCHANGED,PUBLIC_VERIFIED,No new T09 evidence is introduced
TAP-T10,PUBLIC_VERIFIED,UNCHANGED,PUBLIC_VERIFIED,No new T10 evidence is introduced
