status	zip	script	returncode	log
PASS	CCALC_CONTINUITY_ADJACENCY_AUDIT_04c_v0_1.zip	CCALC_CONTINUITY_ADJACENCY_AUDIT_04c_v0_1\scripts\run_adjacency_fixtures.py	0	audit\checker_runs\checker_001.log
PASS	CCALC_CONTINUITY_ADJACENCY_AUDIT_04c_v0_1.zip	CCALC_CONTINUITY_ADJACENCY_AUDIT_04c_v0_1\scripts\run_adjacency_mutations.py	0	audit\checker_runs\checker_002.log
PASS	CCALC_CONTINUITY_CHECKER_SEED_v0_1.zip	CCALC_CONTINUITY_CHECKER_SEED_v0_1\scripts\run_continuity_fixtures.py	0	audit\checker_runs\checker_003.log
PASS	CCALC_CONTINUITY_CONFORMANCE_GATE_04d_v0_1.zip	CCALC_CONTINUITY_CONFORMANCE_GATE_04d_v0_1\scripts\run_conformance_fixtures.py	0	audit\checker_runs\checker_004.log
PASS	CCALC_CONTINUITY_CONFORMANCE_GATE_04d_v0_1.zip	CCALC_CONTINUITY_CONFORMANCE_GATE_04d_v0_1\scripts\run_conformance_mutations.py	0	audit\checker_runs\checker_005.log
PASS	CCALC_DEPLOYMENT_FIXTURE_MUTATION_09b_v0_1.zip	CCALC_DEPLOYMENT_FIXTURE_MUTATION_09b_v0_1\scripts\run_09b_fixtures.py	0	audit\checker_runs\checker_006.log
PASS	CCALC_DEPLOYMENT_FIXTURE_MUTATION_09b_v0_1.zip	CCALC_DEPLOYMENT_FIXTURE_MUTATION_09b_v0_1\scripts\run_09b_mutations.py	0	audit\checker_runs\checker_007.log
PASS	CCALC_EXTERNAL_REVIEW_CONFLICT_PATCH_LEDGER_08b_v0_1.zip	CCALC_EXTERNAL_REVIEW_CONFLICT_PATCH_LEDGER_08b_v0_1\scripts\run_external_review_patch_fixtures.py	0	audit\checker_runs\checker_008.log
PASS	CCALC_EXTERNAL_REVIEW_CONFLICT_PATCH_LEDGER_08b_v0_1.zip	CCALC_EXTERNAL_REVIEW_CONFLICT_PATCH_LEDGER_08b_v0_1\scripts\run_external_review_patch_mutations.py	0	audit\checker_runs\checker_009.log
PASS	CCALC_INTEROP_EXTERNAL_DISCLOSURE_TEST_VECTOR_08d_v0_1.zip	CCALC_INTEROP_EXTERNAL_DISCLOSURE_TEST_VECTOR_08d_v0_1\scripts\run_external_disclosure_test_vector_fixtures.py	0	audit\checker_runs\checker_010.log
