test_id,normative_requirement,historical_public_status,R2B_local_status,R2C_maximum_after_immutable_publication,R3A_deposit_candidate_status,effective_status_before_Zenodo_publication,effective_status_after_Zenodo_publication_if_all_references_resolve,public_basis,local_basis,remaining_gap,maximum_safe_wording
TAP-T01,Declare what persists beyond a session.,PUBLIC_VERIFIED,LOCAL_VERIFIED_CANDIDATE,NO_CHANGE,PUBLIC_VERIFIED,PUBLIC_VERIFIED,PUBLIC_VERIFIED,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,None within the stated architectural claim.,Public evidence remains within the previously verified requirement boundary.
TAP-T02,Classify persistent memory.,PUBLIC_CANDIDATE_NEEDS_EXECUTION,LOCAL_VERIFIED_CANDIDATE,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,No distributed public immutable reviewed code reference.,Local candidate evidence is packaged; public verification awaits a sufficient immutable public code/evidence reference.
TAP-T03,List background tasks.,PUBLIC_CANDIDATE_NEEDS_EXECUTION,LOCAL_PARTIAL_CANDIDATE,ELIGIBLE_FOR_PUBLIC_PARTIAL_AFTER_R3,PUBLIC_CANDIDATE_PARTIAL_DEPLOYMENT_BOUNDARY,PUBLIC_CANDIDATE_PARTIAL_DEPLOYMENT_BOUNDARY,PUBLIC_PARTIAL_WITH_DEPLOYMENT_EXTERNAL_BOUNDARY,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,"Deployment activation, orchestrator, pause, revoke, and witness custody remain incomplete.",Publicly documented as partial with an explicit deployment-external boundary.
TAP-T04,Scope and classify tools.,PUBLIC_VERIFIED,LOCAL_VERIFIED_CANDIDATE,NO_CHANGE,PUBLIC_VERIFIED,PUBLIC_VERIFIED,PUBLIC_VERIFIED,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,None within the stated privilege-scope claim.,Public evidence remains within the previously verified requirement boundary.
TAP-T05,Keep locality separate from sovereignty.,PUBLIC_VERIFIED,LOCAL_VERIFIED_CANDIDATE,NO_CHANGE,PUBLIC_VERIFIED,PUBLIC_VERIFIED,PUBLIC_VERIFIED,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,None within the locality/non-sovereignty claim.,Public evidence remains within the previously verified requirement boundary.
TAP-T06,Classify cloud calls.,SPECIFICATION_ONLY,LOCAL_VERIFIED_CANDIDATE,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,No distributed public immutable reviewed code reference.,Local candidate evidence is packaged; public verification awaits a sufficient immutable public code/evidence reference.
TAP-T07,Inventory agents.,PUBLIC_CANDIDATE_NEEDS_EXECUTION,LOCAL_VERIFIED_CANDIDATE,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,No distributed public immutable reviewed code reference.,Local candidate evidence is packaged; public verification awaits a sufficient immutable public code/evidence reference.
TAP-T08,"Require separate anchor, L4, witness, memory-governance, and authority evidence for any c claim.",PUBLIC_CANDIDATE_NEEDS_EXECUTION,LOCAL_VERIFIED_CANDIDATE,ELIGIBLE_FOR_PUBLIC_VERIFIED_AFTER_R3,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,PUBLIC_CANDIDATE_NEEDS_IMMUTABLE_PUBLICATION,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,No distributed public immutable reviewed code reference; TAP-C remains unclaimed.,Local candidate evidence is packaged; public verification awaits a sufficient immutable public code/evidence reference.
TAP-T09,Route L4-relevant actions to review or witness.,PUBLIC_VERIFIED,LOCAL_VERIFIED_CANDIDATE,NO_CHANGE,PUBLIC_VERIFIED,PUBLIC_VERIFIED,PUBLIC_VERIFIED,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,No TAP-C inference; local binding remains candidate evidence.,Public evidence remains within the previously verified requirement boundary.
TAP-T10,"Support pause, quarantine, revocation, or safe mode for privileged behavior.",PUBLIC_VERIFIED,LOCAL_VERIFIED_CANDIDATE,NO_CHANGE,PUBLIC_VERIFIED,PUBLIC_VERIFIED,PUBLIC_VERIFIED,Public TAP-SEC and parent corpus where exactly mapped; R3A package remains unpublished.,R2A/R2B local exact conformance candidate; not public evidence before immutable publication.,Deployment exercise is not claimed universally.,Public evidence remains within the previously verified requirement boundary.
