pdf	page_count	sample_pages	rendered	status	findings
01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7_ACADEMIC.pdf	50	1,2,25,50	pdf_render_samples\01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7_ACADEMIC\page_0001-01.png:745x1053:mean=246.5:range=(0, 255); pdf_render_samples\01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7_ACADEMIC\page_0002-02.png:745x1053:mean=248.1:range=(0, 255); pdf_render_samples\01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7_ACADEMIC\page_0025-25.png:745x1053:mean=247.5:range=(0, 255); pdf_render_samples\01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7_ACADEMIC\page_0050-50.png:745x1053:mean=254.2:range=(0, 255)	PASS	
02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5_ACADEMIC.pdf	43	1,2,21,43	pdf_render_samples\02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5_ACADEMIC\page_0001-01.png:745x1053:mean=246.7:range=(0, 255); pdf_render_samples\02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5_ACADEMIC\page_0002-02.png:745x1053:mean=248.3:range=(0, 255); pdf_render_samples\02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5_ACADEMIC\page_0021-21.png:745x1053:mean=247.5:range=(0, 255); pdf_render_samples\02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5_ACADEMIC\page_0043-43.png:745x1053:mean=247.7:range=(0, 255)	PASS	
03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2_ACADEMIC.pdf	25	1,2,12,25	pdf_render_samples\03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2_ACADEMIC\page_0001-01.png:745x1053:mean=247.0:range=(0, 255); pdf_render_samples\03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2_ACADEMIC\page_0002-02.png:745x1053:mean=249.9:range=(0, 255); pdf_render_samples\03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2_ACADEMIC\page_0012-12.png:745x1053:mean=247.2:range=(0, 255); pdf_render_samples\03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2_ACADEMIC\page_0025-25.png:745x1053:mean=251.4:range=(0, 255)	PASS	
04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2_ACADEMIC.pdf	29	1,2,14,29	pdf_render_samples\04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2_ACADEMIC\page_0001-01.png:745x1053:mean=246.7:range=(0, 255); pdf_render_samples\04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2_ACADEMIC\page_0002-02.png:745x1053:mean=249.6:range=(0, 255); pdf_render_samples\04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2_ACADEMIC\page_0014-14.png:745x1053:mean=247.2:range=(0, 255); pdf_render_samples\04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2_ACADEMIC\page_0029-29.png:745x1053:mean=249.7:range=(0, 255)	PASS	
05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1_ACADEMIC.pdf	16	1,2,8,16	pdf_render_samples\05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1_ACADEMIC\page_0001-01.png:745x1053:mean=246.7:range=(0, 255); pdf_render_samples\05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1_ACADEMIC\page_0002-02.png:745x1053:mean=250.2:range=(0, 255); pdf_render_samples\05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1_ACADEMIC\page_0008-08.png:745x1053:mean=249.3:range=(0, 255); pdf_render_samples\05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1_ACADEMIC\page_0016-16.png:745x1053:mean=253.0:range=(0, 255)	PASS	
05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1_ACADEMIC.pdf	7	1,2,3,7	pdf_render_samples\05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=248.2:range=(0, 255); pdf_render_samples\05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.2:range=(0, 255); pdf_render_samples\05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1_ACADEMIC\page_0003-3.png:745x1053:mean=245.8:range=(0, 255); pdf_render_samples\05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1_ACADEMIC\page_0007-7.png:745x1053:mean=251.6:range=(0, 255)	PASS	
06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1_ACADEMIC.pdf	13	1,2,6,13	pdf_render_samples\06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1_ACADEMIC\page_0001-01.png:745x1053:mean=246.5:range=(0, 255); pdf_render_samples\06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1_ACADEMIC\page_0002-02.png:745x1053:mean=250.1:range=(0, 255); pdf_render_samples\06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1_ACADEMIC\page_0006-06.png:745x1053:mean=243.7:range=(0, 255); pdf_render_samples\06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1_ACADEMIC\page_0013-13.png:745x1053:mean=249.3:range=(0, 255)	PASS	
06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	5	1,2,5	pdf_render_samples\06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.4:range=(0, 255); pdf_render_samples\06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.1:range=(0, 255); pdf_render_samples\06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC\page_0005-5.png:745x1053:mean=250.6:range=(0, 255)	PASS	
06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1_ACADEMIC.pdf	3	1,2,3	pdf_render_samples\06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.7:range=(0, 255); pdf_render_samples\06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=245.5:range=(0, 255); pdf_render_samples\06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1_ACADEMIC\page_0003-3.png:745x1053:mean=248.2:range=(0, 255)	PASS	
06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1_ACADEMIC.pdf	5	1,2,5	pdf_render_samples\06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.7:range=(0, 255); pdf_render_samples\06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.7:range=(0, 255); pdf_render_samples\06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1_ACADEMIC\page_0005-5.png:745x1053:mean=251.5:range=(0, 255)	PASS	
06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1_ACADEMIC.pdf	5	1,2,5	pdf_render_samples\06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1_ACADEMIC\page_0001-1.png:745x1053:mean=247.9:range=(0, 255); pdf_render_samples\06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1_ACADEMIC\page_0002-2.png:745x1053:mean=252.2:range=(0, 255); pdf_render_samples\06d_RUNTIME_AUTHORITY_REVOCATION_AND_POST_SESSION_AUDIT_v0_1_ACADEMIC\page_0005-5.png:745x1053:mean=251.1:range=(0, 255)	PASS	
