source	pdf	title	document_id	page_count	sha256	status
01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7.md	01_TYPED_GOVERNED_OPERATIONAL_ALGEBRA_FOR_C_v0_1_7_ACADEMIC.pdf	Typed Governed Operational Algebra for c = a + b v0.1.7	TGOPA_C_v0_1_7	50	f8ea5ff4d99d5d57688911cdaafb393854b11b3e98cc245be62862dccb6446ff	BUILT
02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5.md	02_GOVERNED_BINDING_OPERATOR_PROFILE_v0_1_5_ACADEMIC.pdf	Governed Binding Operator Profile for c = a + b v0.1.5	GBO_C_v0_1_5	43	c3dab12c867327404475d8e22e0475f0838ec432472b51a7132257b49ac9b3ff	BUILT
03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2.md	03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2_ACADEMIC.pdf	03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2	03_C_STATE_AND_TRANSITION_SEMANTICS_v0_1_2	25	290dafbd2382f0495c7e3143a89b08e40c9738f495c088c31b02ec13aea4bf57	BUILT
04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2.md	04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2_ACADEMIC.pdf	04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2	04_C_CONTINUITY_METRIC_AND_EQUIVALENCE_SEMANTICS_v0_1_2	29	d0e99614416af0d8522e5b4e91bc05f4b90cecb2bbd5bdb403c367b620ec6433	BUILT
05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1.md	05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1_ACADEMIC.pdf	05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1	05_C_SELF_EVOLUTION_GATE_AND_BOUNDED_GROWTH_SEMANTICS_v0_1	16	09263410a56012219fbfbaf66176053436694cf5b469cf5eee51af12b57cdd87	BUILT
05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1.md	05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1_ACADEMIC.pdf	05d — Self-Evo Post-Promotion Watch and Decay Guard v0.1	05d_SELF_EVO_POST_PROMOTION_WATCH_AND_DECAY_GUARD_v0_1	7	6bb1f7c9be4e3cda5154fca4ae6c35519afe5d9df0c0dc5633c1bf1d58ee6fa2	BUILT
06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1.md	06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1_ACADEMIC.pdf	06 — C Runtime Authority and Multi-Contour Deployment Boundary v0.1	06_C_RUNTIME_AUTHORITY_AND_MULTI_CONTOUR_DEPLOYMENT_BOUNDARY_v0_1.md	13	4833f467612dd01d92d632eed12bd3d2dcb8eb77345116a1d51136bcd38b4bde	BUILT
06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1.md	06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1_ACADEMIC.pdf	06a — Runtime Authority Manifest Schema and Checker Seed v0.1	06a_RUNTIME_AUTHORITY_MANIFEST_SCHEMA_AND_CHECKER_SEED_v0_1	5	8e93f0ef1202cf455e29d273b3c8d7646ccdfe2fea83390799a53b36a9e9fe8f	BUILT
06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1.md	06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1_ACADEMIC.pdf	06b — Multi-Contour Handoff and Tool Lease Fixture Pack v0.1	06b_MULTI_CONTOUR_HANDOFF_AND_TOOL_LEASE_FIXTURE_PACK_v0_1	3	30c645340146d369914288e64d2b285d1953c14569ce9254ba4283ee28052f75	BUILT
06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1.md	06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1_ACADEMIC.pdf	06c Runtime Session Ledger and Emergency Hold Drill v0.1	06c_RUNTIME_SESSION_LEDGER_AND_EMERGENCY_HOLD_DRILL_v0_1	5	62ad4820534d7de447943aa961b1143f7b6b7a7e807ad8719b512d5a295b9e71	BUILT
